show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,latitude,longitude
s2,TV Show,Blood & Water,,Thabang Molaba,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Thabang Molaba,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Thabang Molaba,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Mysteries,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Dillon Windvogel,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Dillon Windvogel,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Dillon Windvogel,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Mysteries,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Natasha Thahane,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Natasha Thahane,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Natasha Thahane,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Mysteries,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Arno Greeff,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Arno Greeff,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Arno Greeff,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Mysteries,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Xolile Tshabalala,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Xolile Tshabalala,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Xolile Tshabalala,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Mysteries,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Getmore Sithole,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Getmore Sithole,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Getmore Sithole,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Mysteries,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Cindy Mahlangu,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Cindy Mahlangu,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Cindy Mahlangu,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Mysteries,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Ryle De Morny,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Ryle De Morny,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Ryle De Morny,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Mysteries,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Greteli Fincham,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Greteli Fincham,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Greteli Fincham,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Mysteries,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Sello Maake Ka-Ncube,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Sello Maake Ka-Ncube,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Sello Maake Ka-Ncube,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Mysteries,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Odwa Gwanya,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Odwa Gwanya,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Odwa Gwanya,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Mysteries,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Mekaila Mathys,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Mekaila Mathys,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Mekaila Mathys,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Mysteries,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Sandi Schultz,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Sandi Schultz,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Sandi Schultz,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Mysteries,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Duane Williams,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Duane Williams,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Duane Williams,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Mysteries,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Shamilla Miller,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Shamilla Miller,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Shamilla Miller,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Mysteries,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Patrick Mofokeng,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Patrick Mofokeng,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s2,TV Show,Blood & Water,,Patrick Mofokeng,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,TV Mysteries,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-28.8166236,24.991639
s3,TV Show,Ganglands,Julien Leclercq,Sami Bouajila,,"September 24, 2021",2021,TV-MA,1 Season,Crime TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Sami Bouajila,,"September 24, 2021",2021,TV-MA,1 Season,International TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Sami Bouajila,,"September 24, 2021",2021,TV-MA,1 Season,TV Action & Adventure,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Tracy Gotoas,,"September 24, 2021",2021,TV-MA,1 Season,Crime TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Tracy Gotoas,,"September 24, 2021",2021,TV-MA,1 Season,International TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Tracy Gotoas,,"September 24, 2021",2021,TV-MA,1 Season,TV Action & Adventure,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Samuel Jouy,,"September 24, 2021",2021,TV-MA,1 Season,Crime TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Samuel Jouy,,"September 24, 2021",2021,TV-MA,1 Season,International TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Samuel Jouy,,"September 24, 2021",2021,TV-MA,1 Season,TV Action & Adventure,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Nabiha Akkari,,"September 24, 2021",2021,TV-MA,1 Season,Crime TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Nabiha Akkari,,"September 24, 2021",2021,TV-MA,1 Season,International TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Nabiha Akkari,,"September 24, 2021",2021,TV-MA,1 Season,TV Action & Adventure,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Sofia Lesaffre,,"September 24, 2021",2021,TV-MA,1 Season,Crime TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Sofia Lesaffre,,"September 24, 2021",2021,TV-MA,1 Season,International TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Sofia Lesaffre,,"September 24, 2021",2021,TV-MA,1 Season,TV Action & Adventure,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Salim Kechiouche,,"September 24, 2021",2021,TV-MA,1 Season,Crime TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Salim Kechiouche,,"September 24, 2021",2021,TV-MA,1 Season,International TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Salim Kechiouche,,"September 24, 2021",2021,TV-MA,1 Season,TV Action & Adventure,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Noureddine Farihi,,"September 24, 2021",2021,TV-MA,1 Season,Crime TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Noureddine Farihi,,"September 24, 2021",2021,TV-MA,1 Season,International TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Noureddine Farihi,,"September 24, 2021",2021,TV-MA,1 Season,TV Action & Adventure,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Geert Van Rampelberg,,"September 24, 2021",2021,TV-MA,1 Season,Crime TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Geert Van Rampelberg,,"September 24, 2021",2021,TV-MA,1 Season,International TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Geert Van Rampelberg,,"September 24, 2021",2021,TV-MA,1 Season,TV Action & Adventure,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Bakary Diombera,,"September 24, 2021",2021,TV-MA,1 Season,Crime TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Bakary Diombera,,"September 24, 2021",2021,TV-MA,1 Season,International TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s3,TV Show,Ganglands,Julien Leclercq,Bakary Diombera,,"September 24, 2021",2021,TV-MA,1 Season,TV Action & Adventure,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
s4,TV Show,Jailbirds New Orleans,,,,"September 24, 2021",2021,TV-MA,1 Season,Docuseries,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",,
s4,TV Show,Jailbirds New Orleans,,,,"September 24, 2021",2021,TV-MA,1 Season,Reality TV,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",,
s5,TV Show,Kota Factory,,Mayur More,India,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Mayur More,India,"September 24, 2021",2021,TV-MA,2 Seasons,Romantic TV Shows,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Mayur More,India,"September 24, 2021",2021,TV-MA,2 Seasons,TV Comedies,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Jitendra Kumar,India,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Jitendra Kumar,India,"September 24, 2021",2021,TV-MA,2 Seasons,Romantic TV Shows,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Jitendra Kumar,India,"September 24, 2021",2021,TV-MA,2 Seasons,TV Comedies,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Ranjan Raj,India,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Ranjan Raj,India,"September 24, 2021",2021,TV-MA,2 Seasons,Romantic TV Shows,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Ranjan Raj,India,"September 24, 2021",2021,TV-MA,2 Seasons,TV Comedies,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Alam Khan,India,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Alam Khan,India,"September 24, 2021",2021,TV-MA,2 Seasons,Romantic TV Shows,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Alam Khan,India,"September 24, 2021",2021,TV-MA,2 Seasons,TV Comedies,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Ahsaas Channa,India,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Ahsaas Channa,India,"September 24, 2021",2021,TV-MA,2 Seasons,Romantic TV Shows,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Ahsaas Channa,India,"September 24, 2021",2021,TV-MA,2 Seasons,TV Comedies,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Revathi Pillai,India,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Revathi Pillai,India,"September 24, 2021",2021,TV-MA,2 Seasons,Romantic TV Shows,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Revathi Pillai,India,"September 24, 2021",2021,TV-MA,2 Seasons,TV Comedies,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Urvi Singh,India,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Urvi Singh,India,"September 24, 2021",2021,TV-MA,2 Seasons,Romantic TV Shows,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Urvi Singh,India,"September 24, 2021",2021,TV-MA,2 Seasons,TV Comedies,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Arun Kumar,India,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Arun Kumar,India,"September 24, 2021",2021,TV-MA,2 Seasons,Romantic TV Shows,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s5,TV Show,Kota Factory,,Arun Kumar,India,"September 24, 2021",2021,TV-MA,2 Seasons,TV Comedies,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",22.3511148,78.6677428
s6,TV Show,Midnight Mass,Mike Flanagan,Kate Siegel,,"September 24, 2021",2021,TV-MA,1 Season,TV Dramas,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",,
s6,TV Show,Midnight Mass,Mike Flanagan,Kate Siegel,,"September 24, 2021",2021,TV-MA,1 Season,TV Horror,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",,
s6,TV Show,Midnight Mass,Mike Flanagan,Kate Siegel,,"September 24, 2021",2021,TV-MA,1 Season,TV Mysteries,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",,
